[B.A.T.M.A.N. adv 2018.1, MainIF/MAC: wlan1/00:00:0d:18:08:04 (bat0/02:3b:ef:2a:d3:a6 BATMAN_IV)]
   Originator        last-seen (#/255) Nexthop           [outgoingIF]
   00:00:0d:18:08:03    0.010s   (143) 00:00:0d:18:08:07 [     wlan1]
 * 00:00:0d:18:08:03    0.010s   (220) 00:00:0d:18:08:03 [     wlan1]
 * 00:00:0d:18:08:05    0.660s   (146) 00:00:0d:18:08:03 [     wlan1]
   00:00:0d:18:08:05    0.660s   (108) 00:00:0d:18:08:07 [     wlan1]
 * 00:00:0d:18:08:02    0.160s   (178) 00:00:0d:18:08:03 [     wlan1]
 * 00:00:0d:18:08:07    0.160s   (211) 00:00:0d:18:08:03 [     wlan1]
   00:00:0d:18:08:07    0.160s   (196) 00:00:0d:18:08:07 [     wlan1]
   00:00:0d:18:08:06    0.660s   (129) 00:00:0d:18:08:07 [     wlan1]
 * 00:00:0d:18:08:06    0.660s   (134) 00:00:0d:18:08:03 [     wlan1]
   00:00:0d:18:08:01    0.660s   ( 95) 00:00:0d:18:08:07 [     wlan1]
 * 00:00:0d:18:08:01    0.660s   (139) 00:00:0d:18:08:03 [     wlan1]
