7.77,9.05,2.72,7.46
2.54,4.44,2.75,4.92
2.92,4.53,4.21,5.73
1.12,3.10,2.95,6.79
1.24,6.61,3.08,5.84
1.09,1.59,2.36,9.40
1.15,3.89,3.57,4.79
1.10,4.13,2.40,6.73
1.09,5.06,3.30,6.10
2.38,0.93,3.16,9.40
1.28,26.45,3.15,27.96
0.62,14.54,14.06,13.62
1.12,9.23,5.22,14.35
1.04,1.71,2.60,5.11
1.95,3.92,8.01,7.16
8.20,3.72,3.40,6.04
1.09,2.79,8.92,6.99
1.10,3.66,6.60,4.96
1.11,8.11,5.26,7.23
1.08,1.49,2.34,3.83
1.09,1.50,5.71,5.23
1.30,2.16,3.50,4.25
10.67,3.41,9.47,11.18
3.42,3.99,2.31,3.65
1.14,4.17,2.27,3.72
8.62,5.47,2.36,3.65
1.10,3.86,2.66,3.52
1.20,4.13,8.02,16.13
1.14,7.24,9.61,9.10
1.14,4.06,5.66,6.67
2.01,4.40,4.67,3.37
4.07,1.51,5.32,3.96
15.00,1.05,29.35,6.09
6.01,28.36,5.17,29.27
2.36,1.80,2.18,4.34
1.15,1.58,2.19,4.00
1.13,3.53,24.54,7.02
1.15,3.68,8.14,5.90
1.15,5.06,2.20,4.75
1.13,3.34,2.36,4.06
2.59,8.32,4.54,11.47
1.12,2.12,4.14,5.45
2.70,3.58,4.32,14.92
5.56,11.29,5.58,16.31
1.66,62.32,137.01,64.03
1.32,3.24,4.87,16.16
2.59,7.48,4.91,7.01
1.16,2.04,3.93,4.29
2.82,2.93,18.38,8.45
1.17,2.34,2.71,12.69
1.12,1.34,4.23,5.38
1.13,1.11,3.25,4.75
5.61,2.90,4.56,6.45
1.60,10.68,7.88,10.16
29.65,1.10,43.33,5.07
1.22,32.29,14.24,42.80
2.98,1.50,2.46,6.01
1.25,0.90,2.34,5.03
1.12,1.14,2.52,5.60
3.38,21.59,9.58,51.94
2.33,6.03,17.23,13.28
1.21,2.16,2.21,8.95
1.22,3.38,2.27,47.40
6.61,1.90,2.87,10.43
4.48,1.16,66.49,13.22
15.81,7.75,55.38,NaN
22.62,40.09,21.06,NaN
3.02,1.06,2.12,13.76
12.47,8.43,9.93,14.28
12.80,8.26,3.76,0.04
13.44,1.73,11.67,5.27
1.13,1.24,3.40,14.57
NaN,8.16,4.08,22.77
171.83,34.33,121.56,34.58
1.69,1.66,2.22,4.19
12.78,4.69,13.20,6.02
138.22,7.02,8.39,34.00
16.00,31.01,3.83,21.89
8.42,10.37,2.51,8.51
3.67,8.43,2.42,9.87
2.31,3.04,2.67,3.67
8.04,1.14,10.91,5.06
1.74,3.93,1.66,3.64
35.74,3.13,3.34,9.14
10.22,2.10,2.66,5.54
25.91,10.04,8.22,3.94
233.19,166.78,28.05,184.59
1.72,1.17,2.17,10.27
9.39,6.10,1.65,6.92
1.72,1.16,17.17,5.62
1.72,1.20,6.10,9.26
8.30,1.13,1.99,1.25
2.32,1.92,4.98,1.60
33.08,14.29,1.02,2.07
2.86,6.30,5.76,1.23
2.16,45.09,17.47,57.99
1.79,1.16,25.71,8.23
2.18,11.52,1.09,2.35
4.95,1.21,4.39,1.61
4.57,1.83,14.92,1.64
2.30,3.97,29.97,2.19
17.51,1.61,98.86,2.12
1.74,1.15,59.45,2.94
14.96,2.20,22.44,1.24
2.23,109.77,2.76,242.60
281.02,234.29,123.38,173.04
2.83,4.29,48.46,306.96
1.76,1.16,1.05,2.88
66.25,1.27,61.63,1.18
NaN,9.32,46.41,1.89
163.76,56.60,208.93,36.56
1.76,4.06,1.12,1.94
15.79,8.83,10.55,1.22
21.32,215.00,59.60,104.25
4.09,38.09,1.23,2.77
NaN,513.41,54.72,292.62
NaN,NaN,598.48,470.39
NaN,NaN,639.43,496.36
NaN,NaN,NaN,627.10
NaN,NaN,NaN,626.45
5.60,NaN,2.98,162.51
NaN,NaN,6.15,254.37
24.13,332.82,80.67,1.10
6.75,2.39,1.49,1.11
NaN,NaN,NaN,234.35
448.79,447.64,932.24,196.40
NaN,NaN,NaN,406.74
NaN,NaN,NaN,178.11
NaN,NaN,NaN,243.24
NaN,NaN,NaN,104.18
NaN,NaN,NaN,163.82
NaN,NaN,NaN,286.29
NaN,NaN,NaN,370.00
NaN,NaN,NaN,226.40
NaN,NaN,NaN,498.24
NaN,NaN,NaN,NaN
NaN,NaN,NaN,45.30
NaN,NaN,NaN,NaN
NaN,NaN,NaN,230.10
NaN,NaN,NaN,517.14
NaN,NaN,NaN,NaN
NaN,NaN,NaN,14.16
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,5.08
NaN,NaN,NaN,353.54
269.71,12.96,304.54,79.89
25.73,39.45,32.92,23.87
95.89,56.87,129.36,27.79
412.25,373.19,478.16,214.59
354.31,345.04,NaN,287.79
NaN,NaN,532.56,126.49
NaN,313.18,95.31,31.34
NaN,NaN,38.93,78.45
274.70,4.42,338.57,50.62
406.46,NaN,139.38,36.16
NaN,NaN,66.75,66.83
276.19,227.58,6.07,59.86
362.77,NaN,89.40,214.01
181.04,NaN,17.91,19.33
NaN,124.74,36.78,62.92
142.46,152.87,68.23,44.66
NaN,246.61,25.30,75.09
114.48,NaN,6.49,15.21
348.66,300.50,24.47,108.96
299.52,248.79,40.33,35.95
166.89,118.95,64.85,121.16
253.26,201.49,330.41,200.77
NaN,NaN,18.98,25.39
NaN,NaN,146.44,146.35
NaN,NaN,226.40,169.47
755.68,83.90,285.03,155.34
51.11,285.23,2.61,279.99
51.74,110.76,16.32,93.85
203.75,139.29,174.24,127.59
100.32,40.72,5.60,61.37
NaN,NaN,321.83,176.14
102.34,303.83,89.84,294.47
NaN,NaN,22.48,189.12
191.52,682.49,202.57,99.64
5.79,54.91,50.27,43.05
4.86,215.94,19.18,213.69
12.16,8.04,2.46,2.71
4.06,83.37,5.81,82.12
74.58,416.30,10.77,96.10
4.64,3.98,10.02,3.54
5.22,3.55,2.61,3.63
4.60,4.98,2.41,1.30
5.76,5.29,2.55,5.20
4.30,4.73,2.46,1.18
3.93,4.25,17.05,1.28
103.56,25.59,173.27,4.06
NaN,288.19,NaN,3.69
NaN,265.51,5.69,1.15
7.26,2.59,3.21,1.13
4.09,11.48,3.85,1.14
36.12,143.12,2.56,1.18
131.91,20.19,3.06,3.82
3.52,7.71,13.06,1.16
5.24,69.24,9.02,1.13
43.87,11.45,11.83,1.19
13.60,2.31,2.15,4.38
8.23,13.59,2.10,3.65
11.04,8.19,2.75,4.27
8.15,2.61,6.98,8.90
3.07,2.58,1.44,3.16
2.79,2.61,1.38,1.21
4.85,2.43,1.28,1.16
8.20,2.41,1.29,9.04
6.33,2.29,2.22,1.21
7.66,2.25,7.16,1.24
2.43,18.79,1.17,9.11
6.68,4.42,2.07,1.15
4.19,4.05,1.08,33.62
2.18,4.21,2.54,3.51
5.52,9.65,1.06,1.26
2.26,4.87,1.33,17.28
2.31,2.82,1.10,1.75
2.22,2.35,6.69,4.71
5.16,3.81,1.26,17.99
3.19,108.29,3.24,121.33
2.96,2.16,1.11,1.53
0.08,3.63,3.67,37.31
4.23,304.21,1.83,463.01
5.85,379.85,1.15,648.65
2.39,1.78,3.18,1.21
11.23,2.56,27.10,1.71
2.31,34.51,1.31,98.04
3.50,1.58,8.53,2.71
2.37,55.43,3.16,111.02
2.84,65.27,1.10,NaN
166.92,35.30,244.88,NaN
72.65,367.67,1.57,NaN
348.23,223.61,69.98,NaN
452.32,319.57,261.36,NaN
263.55,139.61,601.90,729.26
342.70,216.20,NaN,NaN
402.20,275.88,456.30,NaN
127.38,36.03,187.64,NaN
230.48,107.90,1.74,513.38
20.22,76.59,154.78,NaN
108.89,302.53,184.55,221.67
92.29,149.39,18.58,NaN
77.17,266.02,159.41,NaN
99.72,174.85,182.35,336.69
189.90,69.74,273.45,340.62
291.16,91.73,192.02,NaN
191.15,45.79,185.03,NaN
195.80,236.11,284.74,NaN
172.73,88.01,269.96,NaN
101.76,501.94,192.31,NaN
575.36,52.39,254.56,NaN
231.88,118.57,261.79,NaN
154.27,62.05,26.06,NaN
50.15,31.45,142.58,NaN
36.79,172.28,128.90,NaN
105.23,382.06,189.70,NaN
203.03,81.11,294.05,NaN
92.94,286.37,183.10,NaN
51.03,387.78,153.19,NaN
102.59,280.04,77.44,NaN
56.83,167.20,159.31,NaN
207.25,131.69,102.73,NaN
153.83,39.61,262.69,NaN
44.94,249.63,103.05,NaN
177.99,60.34,247.33,NaN
207.34,89.66,270.75,NaN
99.71,355.25,169.38,NaN
90.59,125.73,161.57,NaN
123.98,115.30,135.08,NaN
194.58,81.56,273.26,NaN
76.55,40.18,144.31,NaN
6.86,142.83,74.67,NaN
99.59,214.22,191.11,NaN
11.05,184.61,118.67,NaN
185.39,294.12,217.81,NaN
260.49,127.73,370.82,NaN
180.61,52.24,242.33,NaN
154.90,26.33,258.96,NaN
42.20,108.55,146.21,NaN
114.37,109.99,136.89,NaN
153.71,12.48,249.73,NaN
10.07,201.56,110.40,NaN
182.08,43.93,288.21,NaN
94.22,132.95,197.89,NaN
77.66,170.69,192.57,NaN
106.19,331.50,220.52,NaN
203.72,62.82,303.54,NaN
142.18,126.77,247.49,NaN
186.03,176.51,236.03,NaN
107.38,226.89,129.54,NaN
35.10,102.90,149.26,NaN
37.34,225.30,147.39,NaN
157.11,28.42,268.40,NaN
88.55,167.87,131.28,218.63
1.12,3.33,3.44,4.16
1.34,1.11,5.67,9.57
21.71,1.13,6.27,5.50
1.12,2.24,4.05,5.65
1.40,1.47,8.23,16.00
